company_id,name,parent
C287995586514,Chunich Liverpool Plc,R233705955466
C288025710460,lesunichea wales group limited,C726963380481
C288515416291,Britestr lesanegr Group,CR916893142597
C289282416919,Sea resanelesee International Limited,C742849827
C289646559383,STRITECHUNI NEW UK,R446161960490
C290274425859,Strunich Land Ltd,S245938203350
C290906806865,Graneglora Midlands Plc,S479933976890
C291486274793,RESUNI TANONEGRANE PLC,C726313231589
C293882128,glilech group ltd,
C294034749369,Gralli Wales Group,C402691408329
C295212267364,Brile International Ltd,R789439328159
C295524342730,Gluni B Land,C540749923437
C2974127623,Reseastrane Liverpool Properties Limited,C205544922474
C297482734340,Gluni glite Land,S318858974713
C299430551318,SONESONE GREE GROUP PLC,S245740598444
C29977830724,GRORA PLC,C665903343271
C302677622883,Tanonegrane B Properties Ltd,S463829941200
C302958578876,resuni international limited,
C303211805574,Resile London International,S137591360572
C303347553955,Strora Associated UK,C591367554078
C30529675881,Breabrora lesitebruni Properties,CR902011179589
C30870158900,LESANESTRALLI OLD PROPERTIES LIMITED,CR989054790737
C309829235771,Suniresuni stranebr Properties Ltd,CR141561467233
C312713933913,Britestr lesanes,CR916893142597
C313019270916,Tanee New,R8357415165
C31341507267,chea international ltd,R730450999911
C313536261831,Gloragl Properties,R51268354833
C314098111094,Gleatan B & Co,R308416853768
C314184966058,Lesile Ltd,C591367554078
C314455131490,Lesoratanora & Co Plc,CR657940744263
C31451288401,Chitegl Old,R855775610026
C31554548130,STRALLITAN GROUP,S794481448797
C315606805520,Strorachee Old Land,R677791634568
C316979864735,Sea Coventry Properties,C742849827
C317556198425,Sora New Group Limited,R883163435488
C317789571426,Chonebr London Plc,CR463634467464
C318963714013,Tanuni sea Plc,C49207325950
C319199115265,strora resanegr international limited,C591367554078
C319202184199,sea wales properties,R19963443844
C321395951218,Gliteres Land Limited,C374285503648
C321579764520,Chites Coventry UK Limited,R925312625630
C322671973987,TANUNI ASSOCIATED GROUP LTD,CR257317165498
C323961548740,glea land limited,R627731674573
C324658304029,Gree London & Co Ltd,CR171511710883
C325369725062,Sonestrea London & Co Limited,R307075657850
C326213839254,Gluni gree Limited,C540749923437
C32909950069,tanealesile & co limited,CR35035384079
C329744109865,CHILE GRORA LIMITED,S160390550818
C32990732972,chiteres,
C330604167151,Strora Liverpool Plc,C604284450655
C331098755990,Soras strilegl UK Ltd,S125570395564
C331205823196,Tanuni chile Group,CR257317165498
C331412913805,Chora New Plc,C500371377607
C33206685528,Brallich Midlands Ltd,CR136479728025
C332521205056,Glallich grite International,S852414462952
C333364853612,Chile Plc,R407930232157
C33401170587,Tanuni glanelesalli Ltd,R447116741771
C33506530351,tanee coventry limited,R8357415165
C33522299416,lesorabr briletanone group,R404345150334
C335722169923,sea liverpool group ltd,R19963443844
C335815351353,RESONESTRANE INTERNATIONAL LIMITED,S509836162136
C336308768838,Breeglone UK Limited,
C3363911014,CHANE MIDLANDS PLC,R757359230616
C338310109128,Chonebr struni UK Plc,CR463634467464
C341565213950,Resonestr II Land Plc,S687156583141
C341781347735,GREE COVENTRY PROPERTIES LTD,S332940840982
C3471627731,Strora bralliresite International,C604284450655
C347747606930,tanuni old properties limited,R379588440050
C348939261806,Resora & Co,
C349004818744,Suniresuni London & Co Ltd,C366835766942
C349319262553,Leseetan London Group Limited,S221002629627
C349573165350,LESANE MIDLANDS GROUP LIMITED,S706867265574
C351608339969,Taniletanone Group,
C352221955054,Gree Liverpool Land,CR724499462539
C353742860104,LESEARES WALES GROUP LIMITED,R583734558500
C354347394793,Gluni Liverpool Limited,CR15288597844
C355799526887,Resite resalligrone UK,C737696640067
C35628323290,GRITEBR WALES PLC,S885086696701
C357023274761,Brite resilechea,S949186899925
C36068482152,SEA ASSOCIATED & CO PLC,S564341583169
C362120560403,Brunitanea Land Ltd,R48042242991
C362757958866,Stralli Midlands Group Limited,C86586227406
C365358204766,grea properties,S569385548440
C36574055434,Chite Associated UK,C773497474406
C365758752610,Grorasee Land,C126572648425
C366835766942,Suniresuni London International Limited,R494141357148
C367283807025,Tanone lesuni Properties Limited,C887756950351
C369903844361,sanelesuni bralliresone uk,S573529880909
C370042856913,Glea New UK Ltd,C323961548740
C370814503986,LESEEGLEA PROPERTIES LIMITED,CR591486118458
C37094815689,Sanetanile Associated Land Plc,R444971197985
C371019248024,Sane Properties Limited,R771728523727
C371829173428,SONESTREA ASSOCIATED,R307075657850
C374285503648,Tanoraglite Wales Limited,R42449533726
C375333838175,grilebrea b international ltd,R458197108065
C375933895477,Resitechea Wales & Co,S961455479449
C377877665241,Breeglone Coventry & Co,CR514412296020
C37879711189,sonebralli & co plc,R350444816882
C378823819744,tanite properties ltd,R677791634568
C380141775273,Streagl B,CR96721391383
C381290136160,BRILEGR II INTERNATIONAL PLC,R949791269966
C382241393798,Sone B & Co,S598748209011
C383275806354,salliglee stranestrone land ltd,R46839178093
C384567459024,Sanelesuni B Land Ltd,S573529880909
C385796511173,RESEE NEW,C903490391789
C38683230688,Grora Coventry UK Ltd,C473280412916
C388639562337,Lesileres granebr,R84267644757
C388746519945,sanetanile lesuni uk ltd,R585922217025
C391426425928,Lesilestrile Ltd,C847342952272
C392613604841,STRALLIRES B PROPERTIES PLC,R24795883507
C39349788003,Cheales Old Properties Ltd,S100240634395
C39420877865,Sea London Land Plc,C335722169923
C395103917016,gleeglile international plc,R139137961885
C396560361844,Reseeresile & Co,R627731674573
C397351286316,Challigr B Limited,C771790419556
C39781916532,GLONERESANE GROUP LIMITED,C47101191941
C400739874420,TANUNILESITE COVENTRY,CR893460905491
C401352773800,tanone uk limited,S588373303576
C401450610443,resane old,R146396598682
C401811582272,Lesoneglea London Plc,CR832577280426
C402691408329,Gralli & Co,
C402951354884,stralli midlands uk,C86586227406
C403835928361,Gree bruni Group Limited,CR186026359004
C404137833521,Sea Old Properties Ltd,CR388594154040
C404423334005,GRITEBR LESITE PROPERTIES,S885086696701
C40648968635,sone & co limited,R24795883507
C408051390202,glea liverpool,C323961548740
C408052663103,RESALLI MIDLANDS LAND,R588654702153
C408740890315,SALLIGLEA TANONE INTERNATIONAL PLC,R771728523727
C408986658804,TANILEGLONE PROPERTIES,R46839178093
C409480321688,CHITES ASSOCIATED & CO LIMITED,CR972518335476
C409819245415,See Midlands International Limited,R572622580762
C412016272067,Suniresuni Wales Land Limited,S564194361839
C413257799536,TANUNI ASSOCIATED INTERNATIONAL,C49207325950
C41457147645,granetan international,S611698724195
C41495260641,SEA OLD PROPERTIES PLC,C742849827
C41609024087,suniresuni liverpool land ltd,C412016272067
C416211931340,GREEBRILE COVENTRY LAND LIMITED,C858370192866
C418553493255,straneres associated group,R39690855373
C421067220752,Suniresuni Liverpool Land Ltd,R725158469599
C421099870459,resalli london international,R660939319408
C421571725517,Gleegl,S687156583141
C42222428360,Glalli UK,C24232289673
C425670940649,glaneres midlands & co plc,S57279960295
C427773981536,Lesilegl B & Co Ltd,C778639664753
C428202269140,Straneglea taneagl UK Limited,S997473245448
C42915733750,SORAS B PLC,S125570395564
C430269219657,Taneestr UK Plc,R825407386183
C43102781549,lesanestralli london,CR109834616166
C432175727143,Straneres resile Plc,C803944331958
C43451170285,Brora Ltd,S692626961048
C434943970872,Sora UK Plc,S770471660122
C435389949222,Tanuni B Group Limited,S750292187602
C436822897812,gree soneresite properties,CR29173308363
C43732807266,GREASTRANE LAND PLC,C956946519859
C440375736269,Sea Wales Properties,C475440181821
C440551704256,Brileresalli tanuni & Co,S716753859100
C440568529836,Brallich Midlands International,CR136479728025
C441468532630,Brorabr Coventry & Co Limited,CR113171117883
C442444205773,Challigr B & Co,C771790419556
C445411102190,SEE LONDON LTD,CR509504979564
C445988924077,Glitetanane Plc,R21863986536
C446451838999,Resalli stroratan & Co Ltd,S95412667768
C44646421472,GRUNISTREA GROUP LTD,C262264483037
C4470713886,Salliglea New UK Ltd,R771728523727
C44758442126,Sanechite Group Limited,S154421333514
C449585725452,tanallichite associated uk,R21863986536
C449688187484,grone international plc,CR102968664636
C451677135861,RESITE II,S223039727902
C452645632329,Glea Midlands UK Plc,C323961548740
C453582615229,Gree Associated Plc,S332940840982
C45365509611,TANUNIGLEA B,C665903343271
C453741218205,Gree Old International,C299430551318
C4540615369,GREE BRONELES & CO PLC,CR260574629460
C454480571256,resonebr new land,CR473170780453
C454894700484,Gree Coventry,C324658304029
C457312384698,sanelesuni old & co,S573529880909
C459484601709,Sunich Land,CR964926351101
C46264833975,Lesorabr II UK Ltd,R404345150334
C462931961274,Tanallichite Midlands Land,R21863986536
C4633511791,Tanonegrane Liverpool UK,S463829941200
C46349257762,SEA RESEERES & CO,C475440181821
C463623513240,SILESTREA,CR435022104004
C46483268431,Glitech Properties Plc,C205544922474
C464958316516,Gree stranebr Properties Ltd,R422132303008
C465489125192,glaneres new properties,R35287237980
C465898126205,leseeglone,
C46665539981,Gruni & Co Ltd,S66141111704
C4676399647,SUNISTR PROPERTIES PLC,
C469209120528,GRONELES COVENTRY LIMITED,S750415880604
C46937420590,Tanite B Group Limited,CR913367978546
C469651747796,Soras B Properties,S125570395564
C469768847330,Lesileres Liverpool International,R357821297019
C470454375653,Lesileres London Land,CR490222687270
C470685675061,Glea Land,S195140718974
C47101191941,Suniresuni London Limited,C27815713567
C471944999718,Sea Old Ltd,C507561709563
C473280412916,Grora Old Properties Plc,C329744109865
C475068464205,Breeglone New International Limited,C17278382104
C475440181821,Sea Wales UK,R768408287428
C476129219218,GLITE PROPERTIES LTD,CR644000980188
C47634269492,leseetan new group,R764915829891
C477103633661,Lesane Associated Group Plc,S706867265574
C47800327924,resonestrane grunichora properties ltd,C335815351353
C47850474754,tanonegrane midlands land ltd,C291486274793
C479639701121,granelesalli plc,R713689431914
C482685783107,See Wales Limited,R572622580762
C483006806815,TANALLICHITE II,R21863986536
C485018305663,Sea glea UK Ltd,S765454915942
C486262689306,Suniresuni Old & Co,CR387710716445
C486631349041,Gree Coventry,R48042242991
C486759315036,Glitebrile Plc,C934776323096
C487042112346,Tanuni New Limited,S750292187602
C487108957965,straneres associated & co,R39690855373
C487562101662,LESEETAN II INTERNATIONAL PLC,R764915829891
C48773310779,Gree Coventry Properties,C299430551318
C487912730753,SONERESITE GLALLI PROPERTIES PLC,C436822897812
C490361356313,Lesileres resee,R684979642676
C491965436455,Glitechee International,C25868452830
C49207325950,tanuni associated land ltd,R510133458128
C493494186312,gruni associated plc,C877394517686
C495841515463,TANANERES LAND LIMITED,CR944947239678
C496073390534,tanunigl resallibr properties limited,R737749377192
C497408191768,Gree II,S332940840982
C498567266942,Seebr Plc,R914513158356
C49953832423,breabrora coventry uk ltd,CR902011179589
C499571912475,Resee Midlands Ltd,C903490391789
C500063296825,RESILE COVENTRY & CO PLC,S137591360572
C500371377607,Chora Wales International Plc,R177105721207
C500676104573,Chee Liverpool,R898519571313
C50084264661,Gleetan II UK Ltd,R407930232157
C501768834065,RESONE LESEEGLUNI LIMITED,C934776323096
C50290693724,Resonebrora Properties Plc,R713689431914
C503862705550,GRALLIS BRANEBR LAND,C883982442214
C503885526186,Suniresuni B,C27815713567
C504555658701,BRILE NEW INTERNATIONAL LTD,R382956930139
C505268160785,Chitestruni Liverpool International Limited,C776668468894
C505964779166,Streagr Properties Plc,CR734136983930
C506634973071,Tanite B UK Ltd,CR913367978546
C507321187170,Siteresane Plc,C353742860104
C507515335764,Gralli Coventry Group Ltd,S193354993547
C507561709563,Sea London Group Plc,R716243391063
C50883907920,Greastrile Wales & Co Limited,R43027603035
C510027435134,Soras B Ltd,S125570395564
C510094232731,gree liverpool uk plc,CR260574629460
C511118345991,Resunich brea Land,R185419277893
C511165161609,Straneres Old Land,C803944331958
C511946622566,CHORA CHORARES LAND PLC,C500371377607
C512017738414,Suni Ltd,R39690855373
C51237546364,Salliglee Coventry Land Ltd,S806261652161
C512448430964,Grallis II Land,C847342952272
C515660274015,CHITES GREALES LTD,R925312625630
C51594390967,Resonebr II,CR473170780453
C517470352138,breabrora coventry ltd,CR85759288892
C51778518326,Straneglea Wales Limited,S997473245448
C518521843757,RESONECH,S484999496645
C519152139039,Chora Liverpool International,C500371377607
C521940204967,Streagr Limited,CR37095238800
C522302308590,Tanuni New Properties Plc,C49207325950
C524314336416,gree midlands limited,S24423690782
C524955750109,Strorachee sunichea Plc,R677791634568
C52559899627,Salliglea London Land Limited,R771728523727
C526535727377,Brone Land Plc,S262785547976
C526852294394,Tanunilesite Wales & Co Plc,R328963734041
C52698815688,Grallis Coventry Land Ltd,C883982442214
C52787860108,Resite II Properties Plc,R193839205590
C531693136230,CHILEGR NEW LTD,C24232289673
C532349933334,Resalli strunilesalli International Plc,R588654702153
C533175890038,Seastr B Ltd,CR223836514978
C533470649446,Resite Group,C49207325950
C534691171676,Tanorastrite,CR29173308363
C53547145286,Glilegl II Land Ltd,R36653657827
C536471543268,Cheagr chite Properties,S159695141697
C536509973920,STRITECHUNI LONDON UK,S588373303576
C536590531949,Suniresuni Associated Properties Ltd,R94087614334
C536933589914,SALLIGR GROUP LIMITED,R185419277893
C538315677912,Leseagl & Co,S883244116353
C538548926956,Sea II Limited,S765454915942
C539110770528,Gloneles site Properties,CR751192313057
C53972329813,Gloneles lesalliles UK Limited,CR751192313057
C540749923437,gluni & co ltd,C293882128
C542279354058,Suniresuni tanorastrone Properties Plc,C797652471075
C542703279702,BRILE B LAND LIMITED,S271491157805
C54494125261,SEA LIVERPOOL UK LTD,R768408287428
C544948232324,TANONEGRANE GLUNIRES INTERNATIONAL,C291486274793
C545307312815,Graneglora chonesalli Group,S479933976890
C545559853239,cheastr limited,
C547524497972,Suniresuni Associated & Co Plc,C536590531949
C547923656717,Glallich Midlands Ltd,CR37095238800
C54811903385,Glallich B Land Limited,CR37095238800
C548246237768,Lesileres Associated,R357821297019
C548332446030,CHONEBR PLC,C329744109865
C5520401304,Resoneles,CR77108863368
C552555510358,chilegr sane international ltd,CR192638403891
C553293418309,tanuni ii limited,S750292187602
C553697183869,Salliglee struni & Co Limited,CR644000980188
C555131983189,Gluni B,S420040260131
C55582332706,Stranechuni Land Plc,S125570395564
C55651347661,britestr london uk plc,S569385548440
C55723791142,Brite London,S949186899925
C557666900045,chitestruni chanegr ltd,R350444816882
C55841182577,Gritebr B,CR665403974739
C55876502042,Glunitanile Properties,CR60211723968
C559010172469,Gluni Wales Ltd,S420040260131
C561835659951,CHITESTRUNI TANILETAN & CO LIMITED,CR801928624634
C561841723874,Sallisora Midlands & Co,R65737757707
C565777148415,CHORAGR INTERNATIONAL LTD,CR212950528676
C565995996242,greastrile old ltd,R914513158356
C566693360984,tananegrile old uk,C84755214743
C56675882023,leseegrite international limited,S24423690782
C567131428402,GLUNIRES LIMITED,C475440181821
C5677926080,Suniresuni Old,CR387710716445
C568588548669,TANITE MIDLANDS & CO PLC,C124976121037
C56870175491,STRILELESILE LONDON LAND LTD,C169192781986
C56964143740,Researes Ltd,C6813928304
C57116660113,brunigrone & co limited,CR591486118458
C571588254205,Chora New Limited,CR435022104004
C571756296530,CHONEGL INTERNATIONAL,C726313231589
C572588663678,tanuni old,S750292187602
C573413486792,Cheagr B & Co,R52487232234
C575135168044,Glallitanee International Limited,R407930232157
C575568910528,Resanebrone glilegl,R703033523648
C576938137597,Sanetanile New Properties,R444971197985
C577089955578,Resile strilech UK,S137591360572
C578883889588,Gree Associated Group Limited,CR171511710883
C579921491287,Sanelesuni New,S688473472051
C580896582185,GLUNI PROPERTIES LTD,R771728523727
C581154178847,LESANES INTERNATIONAL LIMITED,R497656659924
C5812563755,Leseares Old,R583734558500
C584884146659,Resonebr New & Co Plc,CR562834682207
C588860501079,Sanegree Wales Plc,CR49340755304
C589622191963,Tanuni B Land,R379588440050
C590051211650,Gree Wales Ltd,R925722944580
C591367554078,strora land,
C5930052588,gritebr see international ltd,S885086696701
C593412294187,Suniresuni strane,R860395717497
C5937246060,Saneres Ltd,CR257317165498
C595295481771,Lesilegl New International Plc,CR119027379060
C598406229366,Lesanestralli Wales International Limited,CR109834616166
C599065290936,Resone Wales Group Limited,C934776323096
C600116109285,grora london & co,C329744109865
C601250558574,Gluni II International Limited,S773404608109
C60203461290,straneglea london,C51778518326
C60270116513,RESALLISTR LAND LIMITED,R764915829891
C60366369929,Gruni resoneresone International Plc,C877394517686
C604284450655,STRORA GROUP,R703033523648
C604398107060,Chitestruni New & Co Plc,C776668468894
C604847966600,Stritechuni chitelesea Ltd,R446161960490
C605190515728,Brone & Co Ltd,C505964779166
C606278120548,Tanee London UK Plc,S178331315212
C607303427014,Resonestr seetan & Co Limited,C104936104
C608136122512,Suniresuni grunibrora & Co,C126572648425
C609319773684,Sea B International Ltd,C507561709563
C609788248648,Grite & Co,CR832577280426
C609919333903,gritebr coventry properties limited,C22527040613
C612225351087,Greasite B Properties Plc,C786772596138
C612374208697,straneglea tanalli & co plc,C51778518326
C613743893939,Brora & Co Limited,S752853827394
C614726575864,Suniresuni London Land Ltd,R347154423574
C615101134529,Resanebrone II Properties,S487157171483
C615163878160,Gluni sorales International,CR15288597844
C615368159880,RESILESTR TANORARESILE,S243171423613
C61669830377,Sora Liverpool Land Limited,R883163435488
C617207532761,straneres b international limited,C803944331958
C61815681044,Suniresuni reseeres & Co,R725158469599
C618341461549,Gluni B Plc,S393536486797
C618982758665,Lesileres London Properties Ltd,R357821297019
C619231790339,Glora Ltd,CR290372190391
C619502736509,Lesile Midlands UK,C640137927261
C620290868821,GRORA WALES PROPERTIES,C473280412916
C622523283889,Resonestr B Group Ltd,CR667191406668
C623482292023,Sanelesuni Midlands Group Limited,S688473472051
C62531526050,Tanuni strunigrora Properties Plc,R510133458128
C625982660657,RESALLI LONDON PROPERTIES,R588654702153
C626982793463,Chite Liverpool Group Limited,S15679807508
C627704548285,gree wales land limited,R422132303008
C628416998809,Chee glonechuni Limited,R898519571313
C629117716096,straneres ii & co plc,R448389786533
C629192751745,See sitebrea International Limited,R50172495323
C6298441543,RESITE TANALLILES INTERNATIONAL LTD,S223039727902
C63020916670,SALLIGLEE COVENTRY LTD,C16697450315
C630526582095,GREE COVENTRY & CO LIMITED,CR260574629460
C631791966930,Sane Coventry & Co Plc,CR318841821464
C632075550570,BRANESTREA INTERNATIONAL LIMITED,S62808276123
C632637559144,RESILELES & CO,
C632792596596,STREEGRORA INTERNATIONAL PLC,S688035335857
C634946684226,Gluni grite & Co,C540749923437
C637577550796,SONELESILE BREERESITE & CO LTD,R60777211815
C638614648711,resanebrone gralli properties ltd,R703033523648
C638660932204,Suniresuni Old Ltd,C47101191941
