land_id,company_id
T104335284830,C903487843119
T104346382733,S975114185111
T104371409938,R590980645905
T104464417116,S908788533980
T10446907934,CR42403671837
T10457296837,C902242338621
T104633881787,S583048510534
T104657511275,S841034185441
T104667774162,C6550062356
T10475826923,S969815340294
T104768476598,C921786706840
T104814788628,CR256182919452
T104821420309,R291609990421
T104870422101,C908550137579
T104883543012,CR206004380361
T104903192868,R912580200546
T10493984099,R429073529027
T104941977557,CR727560947210
T10494608546,C349573165350
T10494737228,C349004818744
T104980359366,S178433510159
T105036926571,C914816594822
T105084766716,R912580200546
T105119898760,R84565275715
T105126132935,C36574055434
T1051518157,C219662665970
T105165371402,R151919292782
T105178256316,C470685675061
T105185751300,R370185833672
T10524249760,CR922291157783
T105314807288,CR915977980863
T105321555645,C902242338621
T105369180525,CR102968664636
T105371862101,R912580200546
T105395569005,R849627309056
T105407307052,CR310905580460
T105419560820,CR874756817358
T105428500760,R990724975152
T10542913206,R809467187738
T105480349739,S908788533980
T105493569098,S808744345450
T105544670858,CR294531882647
T105566897734,CR915977980863
T10561433097,CR136479728025
T105660247116,CR8690183203
T105691453664,R875719724733
T10570235645,R590980645905
T10573849731,CR61848145612
T1057984162,C903487843119
T105811319521,C198751675116
T105814825895,S952330424674
T105827744321,CR102968664636
T105831461569,CR29722240394
T105881372703,C36068482152
T10589921346,S808744345450
T105927224776,C436822897812
T105928137758,S3204071518
T105939828849,S234650831198
T105946162098,S178331315212
T105947876580,CR915977980863
T10594792716,S35506426664
T105961794284,R47707058158
T10596937207,CR713482463859
T106020648871,C55651347661
T106041614268,R644555626744
T106049190120,C221878844816
T106056962186,C918306506787
T106096955760,C641795813078
T10612891300,R14146819289
T106144896173,CR702008838130
T106174431803,CR757199606799
T106266373389,C110573369242
T106273630180,C110573369242
T106279791997,CR987412439042
T106307232905,S535421265493
T106357192689,S439715196849
T106387820005,R269418758472
T10640240759,C46483268431
T106405589032,S350267378795
T106419102263,CR853956581654
T106465974407,S242445566060
T106467908846,S637917689179
T10649437845,S160390550818
T10652516308,R668887724510
T1065725788,CR69735252366
T106703388450,R54481457783
T106745781431,CR257231242973
T106772656129,R590980645905
T106851568386,S385413546901
T106886640579,C774555638842
T10694684913,C275167256486
T10694919549,R849627309056
T106966489817,R54481457783
T106969929766,S750415880604
T107005627184,R48156846185
T107023809617,CR87150949837
T107036684401,R337885620018
T107096336481,CR114120579704
T107114220747,C110573369242
T107226339771,CR795245890399
T107236483287,S129823627207
T107237912904,CR80335448539
T107317854714,C12149984059
T107342195433,C498567266942
T107345905718,S178433510159
T107366717745,CR206004380361
T107382846257,C113883303122
T107389510080,C260483934511
T107401991169,C295212267364
T107410328480,R397540961987
T107431458527,R666470705229
T107467710895,R23776857499
T107514404991,CR63681315528
T107553486591,CR290569187576
T107566985243,R337885620018
T107595686106,C30870158900
T107657444992,R84565275715
T107660154638,R296026207001
T107678894349,S201476103199
T107707474929,C349004818744
T10772115280,CR915977980863
T107764596155,CR87150949837
T10776525172,R14146819289
T107791612860,CR795245890399
T107810496923,S60176329917
T107856829175,R177105721207
T107863750335,C99989495688
T107873886435,CR506004523070
T10787529255,CR432610693265
T10789920262,S345249605590
T107924874790,CR432610693265
T107926901028,CR87150949837
T107937550651,C850618627983
T1079384226,C994840160544
T10795725010,R177105721207
T10797469712,R653709434810
T108044693457,S583048510534
T108092273141,R84565275715
T108096791363,S637917689179
T10819741398,S375549183226
T108282583076,S637917689179
T108299622291,C641795813078
T108331842880,CR206004380361
T108355931900,C767239668292
T108367118493,C659685682807
T108446421954,R337885620018
T108447948367,C902242338621
T108464766240,CR63726159656
T108464835267,S520447518974
T10848419443,S88247586149
T108551317850,S60176329917
T108590310312,R730450999911
T108637709116,R805110580016
T10864313589,C902242338621
T108705717974,CR654867845835
T108768319953,S47399595820
T108773718664,R652026353427
T10877518059,R177105721207
T108785985083,R12996266868
T108789344168,CR290569187576
T1088669828,R48156846185
T108927720694,CR87150949837
T10899129459,S946965306891
T109003991713,R12996266868
T109022915120,R717615300617
T109042881749,R119341965993
T109043174940,C767239668292
T109065804432,CR87150949837
T109093664037,C381290136160
T10909968536,CR233667834251
T109111746593,C464958316516
T109141797887,CR171511710883
T109168745209,C696792776381
T10916938821,R805943178700
T109240713049,CR432610693265
T109245299738,C378823819744
T109294566184,S583048510534
T10932911838,S675250864354
T109465334186,S201476103199
T109483377728,C741916270689
T10948663040,CR290569187576
T109492679365,CR63726159656
T1095567134,CR102968664636
T10957885539,CR87150949837
T109614289624,S312690706410
T109624240389,C538548926956
T109647257891,R668887724510
T109670766684,CR310905580460
T109709390081,CR87150949837
T109716778291,CR206004380361
T109722470095,CR953001315927
T109753121540,C711174129592
T109765602557,C668620257542
T109796443957,S55039215188
T109830201966,CR783198615036
T109844637450,R48156846185
T109849114979,R478274439044
T109907877681,CR49340755304
T10993465472,CR290569187576
T109966932072,R478274439044
T11000161797,R583734558500
T110010412458,S708712431537
T11001388245,C219662665970
T110015227796,CR915977980863
T11001990351,CR547929536713
T110019946438,CR290569187576
T110077159466,CR80335448539
T110116623566,S583048510534
T110119575539,S55039215188
T110139371586,C903487843119
T110227359829,C767239668292
T110282282818,S178331315212
T110353431992,CR102968664636
T110367203635,CR774204321512
T11036750202,C316979864735
T110387483823,C908550137579
T11041264915,CR489378824854
T110475812536,C902242338621
T11052029409,C280896198612
T110522886017,S35506426664
T110526202546,CR310905580460
T11053741979,R177105721207
T110554598994,R668887724510
T110561180419,S365579778508
T110682486292,CR87150949837
T110682899383,R867531838668
T110699531315,S952330424674
T110730192110,S129823627207
T110768666454,CR310905580460
T110789897986,R912580200546
T1108646715,R209582834537
T110877473496,R849627309056
T110901323762,C381290136160
T110940688574,S583048510534
T110945885422,CR17951977015
T110991305973,C127565968843
T111002991665,R177105721207
T111033426838,C70100506313
T111044869622,R131038522767
T111053677032,S994888439568
T111150776891,R502230410439
T111178540228,CR80335448539
T111211597334,R397540961987
T111249816136,CR29722240394
T111293852570,R668887724510
T111334292502,R16412228157
T111374181344,S55039215188
T111377658421,CR29722240394
T111451758221,S86253713888
T111464154653,C921786706840
T111480368095,C956864658183
T111531268609,S178331315212
T1115352610,S808744345450
T111536398918,C902242338621
T111560295195,C668620257542
T111565176625,R209582834537
T111568224699,C641795813078
T111588153498,C55651347661
T111672435732,C278966607127
T11167407925,CR232444471110
T111689534663,S223039727902
T111731784641,CR80335448539
T111750134053,CR257231242973
T111763452343,S3204071518
T111810796032,CR87150949837
T111830337401,CR373501801
T111834610704,R733556529584
T111895197555,C127565968843
T11193726328,S110110593359
T111957194801,R269418758472
T111957812180,C902242338621
T111966239050,S583048510534
T1119709508,S129823627207
T111975544563,R119341965993
T111994594785,S160390550818
T112036114141,S425406563509
T112119179255,C110573369242
T112125952898,S167987957665
T112136706057,R871891858267
T112147501190,CR102968664636
T11216135012,S439715196849
T112171710529,C918306506787
T112191558840,R209582834537
T112205344203,R14146819289
T112212948141,CR114120579704
T112217552783,CR83553746062
T112223878930,CR547929536713
T112230964866,S994888439568
T112314870291,R386143586539
T112421654086,R809467187738
T112427260141,S35506426664
T1124283582,C918306506787
T112490243401,C632792596596
T11251791538,S621515627467
T112557724888,CR63726159656
T112572409445,S223039727902
T112701655599,R484974489427
T112724956799,C538548926956
T112728827087,R805110580016
T112734253966,R209582834537
T112746363744,R810778651553
T112752781981,S952330424674
T112807706427,CR777832917327
T112819500926,S242445566060
T112852464643,C113883303122
T112872784211,CR310905580460
T11288534553,CR848368971683
T112896105681,R83268455149
T112907416829,C857143432536
T112919520956,CR49340755304
T11292748641,R875719724733
T112939457285,C538548926956
T11296617197,R177105721207
T112973968788,S675993292454
T113007446019,S312690706410
T113046179028,C918306506787
T113070560978,C280896198612
T11312672621,R209582834537
T113142658855,R296026207001
T113213554576,C918306506787
T113255347525,C500371377607
T113283911497,CR373501801
T113385694342,R590980645905
T113431964428,CR63681315528
T113449138273,R177105721207
T113485271385,C659685682807
T113545583440,C36068482152
T113569611499,S644620252216
T113615370436,R653709434810
T113630567369,CR715200155361
T113734435934,R814256406213
T113799994491,C260483934511
T113829364536,S637917689179
T113859476194,S167987957665
T113866273268,R681239563875
T113928762158,S583048510534
T113939148476,S952330424674
T113949139368,S608539204331
T114006672161,CR432610693265
T114073901064,R119341965993
T114080821823,R296026207001
T114090501930,C538548926956
T114098435372,S550005392985
T11410160680,R119341965993
T114116475706,CR83553746062
T114127722451,CR713482463859
T11413901725,S110110593359
T114160906659,S110110593359
T114163520633,S110110593359
T114175549989,CR774204321512
T114243737477,CR853956581654
T114290333226,R814256406213
T114291787745,R590980645905
T114295693211,C921786706840
T114308588494,CR795245890399
T114328299359,CR114120579704
T114353769294,CR171511710883
T11437289639,S695180458020
T114390885853,R12996266868
T114396406808,S637917689179
T11441790836,C903377409498
T11443544650,R16412228157
T114462286551,CR310905580460
T114475636525,S178331315212
T114495292777,C349573165350
T11452114678,R88077843873
T114527503908,R821219382676
T114559473774,C20695518246
T114569361422,CR63681315528
T114608567076,C500371377607
T114629457841,CR87150949837
T114635789269,R269418758472
T114710282029,R990724975152
T114768717831,R47707058158
T114777884313,S110110593359
T114779559896,S223039727902
T11483849686,CR654867845835
T114868363253,C741916270689
T114868529149,R936337393870
T114901136129,C857143432536
T11491136964,R209582834537
T114917458643,R35596551479
T11493469787,R48156846185
T114946790184,R585005168566
T114952196023,CR783198615036
T114954642886,C55651347661
T11495934928,R291609990421
T114995318935,R928087587436
T115026990843,R811611199001
T11512737260,CR63726159656
T115150109550,R83333660646
T115166791122,S353503182083
T115173205681,C500371377607
T115181254319,S637917689179
T11524742038,C7659869282
T115330210419,S167987957665
T115353844384,C918306506787
T115357857535,CR206004380361
T11537710764,R16412228157
T11540582415,R478274439044
T115427679896,C349573165350
T115516319241,R814256406213
T115631860456,CR290569187576
T115682192247,C280896198612
T11571657551,S952330424674
T115769545381,S242445566060
T115773675434,CR136479728025
T11578140874,R668887724510
T115792846069,S609832720437
T115802503512,S365579778508
T115815305534,C980295860804
T11591811259,C857143432536
T115923572720,S653986615614
T115978555053,R337885620018
T115984532720,C55651347661
T116010363843,C918306506787
T116064693154,CR114120579704
T116081198156,R805110580016
T11620255070,R392940951280
T116257387471,S952330424674
T116263982938,S88789998185
T116270563750,S439715196849
T116369809764,S365579778508
T116468402550,R668887724510
T116526111591,C641795813078
T116526575874,CR290569187576
T116581617569,S583048510534
T116675101834,R912580200546
T116707925271,R990724975152
T116708249015,S637917689179
T116721580659,R591819899055
T11674837050,CR206004380361
T116774453297,R14146819289
T116782545184,R42586685544
T116792498021,C730873287974
T116794915579,CR654867845835
T116794924159,S232709415599
T116815990180,CR290569187576
T116844174870,S952330424674
T116907936492,R291609990421
T116990509727,C295212267364
T116990516565,C378823819744
T11707585516,R936337393870
T117099191862,R177105721207
T117115908579,CR472114401099
T11715165325,R177105721207
T117170580427,R805110580016
T117182586442,S167987957665
T117187304455,S952330424674
T11720478589,C122743610118
T117214463135,C295212267364
T117301593052,C208674463645
T117306841634,S908788533980
T117320325767,S583048510534
T117322156659,CR853956581654
T117360669260,C208674463645
T117392168416,C55651347661
T11739377458,CR233667834251
T117402187802,CR654867845835
T11742155516,R48156846185
T11751166029,CR60914812857
T11759288955,CR973006857846
T11775147165,R585005168566
T117754172121,S223039727902
T117757968815,C110573369242
T117784177294,C260483934511
T117804882232,CR915977980863
T11784728697,R308416853768
T117867301526,C37094815689
T117919593421,S385413546901
T117941371808,CR504201865764
T117969922809,C902242338621
T117994977059,CR974353914474
T11799966855,S827758731804
T118042387070,R54481457783
T11807275205,CR219598985242
T11807649322,S167987957665
T11815450035,R805110580016
T118239428605,S88247586149
T118262944229,S110110593359
T118283969648,C857143432536
T118311318202,S59473485746
T118327687902,R467822250367
T11839967735,R209582834537
T11840227047,R585005168566
T118418932049,C198751675116
T11844490883,R83333660646
T118502994062,C902242338621
T118639298908,CR136479728025
T11865829924,S975114185111
T118702663149,C219662665970
T118707185680,CR811166384274
T11871535558,R177105721207
T118753197992,S178433510159
T11879556169,R84565275715
T118831199168,S827758731804
T118843906680,R48042242991
T118860250517,S178433510159
T118884530815,R245333689855
T118967482130,CR290569187576
T11897795265,C668620257542
T118978533,S827758731804
T118998112429,CR915977980863
T119022731147,CR69735252366
T119047255565,C349573165350
T119056364846,CR915977980863
T119089771513,C908550137579
T119112624857,CR757199606799
T11913770389,S653986615614
T119158867939,CR80335448539
T119193828154,C68371135703
T119209144603,CR29646441286
T11922048413,R48156846185
T119276902384,S375549183226
T119343525230,S3204071518
T119350278072,C110573369242
T119409152546,S808744345450
T119433499836,R337885620018
T1194393902,C641795813078
T11944380043,S637917689179
T119454431775,S242445566060
T119559961926,R867531838668
T119578635417,S808744345450
T119591419337,CR42403671837
T119616416611,C677013818504
T119641700194,R392940951280
T119671209321,R809467187738
T119679737629,C403835928361
T11972845096,C84078483728
T119753264725,C857143432536
T119767447174,R23776857499
T119796960413,C20695518246
T119848591107,C677013818504
T119889622575,R653709434810
T11989988178,S242445566060
T11990638323,R478274439044
T11990835792,C349573165350
T119977482236,S223039727902
T120014778913,CR713482463859
T1200393642,CR783198615036
T1200432174,C113883303122
T120058872774,R209582834537
T120075139658,C68371135703
T120101243301,CR737246573806
T120129825433,S3204071518
T120136141399,C280896198612
T120136187065,S350267378795
T120168813689,R151919292782
T1201739453,S928037566409
T120212306225,C641795813078
T120241635957,C918306506787
T12024685633,C349573165350
T120247231318,CR264673710960
T12032017082,CR915977980863
T120339712876,C20695518246
T12035623192,CR310905580460
T120384423842,S35506426664
T12040964722,S808744345450
T120413424432,C55651347661
T1204251233,S952330424674
T120452659511,R397540961987
T120486972035,C99989495688
T12052827921,C903487843119
T120564893628,C378823819744
T12056588966,R291609990421
T120565992183,CR119027379060
T120599953855,R996992171891
T120621135592,S55039215188
T120697304919,S637917689179
T12070472851,R810778651553
T120746549552,R668887724510
T1207617304,R84565275715
T120765866994,S675993292454
T120768671417,C12149984059
T120817629792,S129823627207
T120894923689,C40648968635
T120915318238,C696792776381
T120937148310,R151919292782
T120950214985,R83333660646
T120982170464,R858113497826
T12098553201,CR63726159656
T12102180123,C498567266942
T121046106987,S928037566409
T121067520317,CR702008838130
T121071432765,S312690706410
T121101202204,C260483934511
T121143710331,R810778651553
T121194197616,CR69735252366
T121205215599,R337885620018
T121244746497,S375549183226
T121272416691,CR310905580460
T121327978329,R817996565888
T121349500317,R733556529584
T121377638744,CR654867845835
T121392405543,C538548926956
T121444934117,R652026353427
T121484968384,C331098755990
T121520256233,S341935930538
T121542837123,R867531838668
T121543646821,C659685682807
T121551264039,C260483934511
T121578828137,S583048510534
T121607421679,C349004818744
T121637333823,R805110580016
T121662834216,R805110580016
T121689976627,S908788533980
T121831680008,S952330424674
T121841347561,C6550062356
T121847994360,R48156846185
T121873659492,CR412668135309
T12191185861,CR63726159656
T121925958700,C902242338621
T12196675349,C198751675116
T12197765496,R747072609071
T122084104749,R16412228157
T122106719723,CR654867845835
T122135904561,S47399595820
T122138337032,C20695518246
T12215912206,C500371377607
T122161999535,R209582834537
T122180348561,R809467187738
T12223552084,C677013818504
T122239748657,C994840160544
T122269647478,S583048510534
T122367950027,S504842321794
T122401553593,C741916270689
T122402728885,C519152139039
T122431964882,C127565968843
T122465650594,CR757199606799
T122513677652,C275167256486
T122527111720,C903487843119
T122542204054,R16412228157
T122581925141,R291609990421
T122584870381,CR713482463859
T122594185265,CR922291157783
T122612936612,C994840160544
T122613304014,R805943178700
T122651561500,CR969933347040
T122670541003,CR547929536713
T122676496312,S365579778508
T122679250929,S928037566409
T122709278604,CR654867845835
T122802653611,R177105721207
T122803890052,CR715200155361
T122871712040,R821219382676
T12288183679,R23776857499
T1229042307,S242445566060
T12293262735,S761931434726
T122955359911,R209582834537
T123025195549,C381290136160
T123030352467,S439715196849
T123030506890,S952330424674
T123031500273,R83268455149
T123043922586,R805110580016
T12305921034,R717615300617
T123115388906,CR310905580460
T123157797648,S48628617912
T123163277466,C465489125192
T123165851840,C110573369242
T123221494548,R849627309056
T123308757469,C55651347661
T12359627391,C20695518246
T123606619033,CR702008838130
T123617933224,S675993292454
T12366490367,R177105721207
T123677536066,S232788239882
T123691614603,R814256406213
T123739333538,CR967855246261
T123819191436,S110110593359
T123822158444,C696792776381
T12382226536,C960287313359
T123848984472,CR373501801
T123901699811,S872589248462
T123907459958,R809467187738
T12395597516,C902242338621
T123977978831,C36574055434
T12400382344,R717615300617
T124008516804,CR783198615036
T124017595132,R209582834537
T124042298907,S846714920570
T124044141161,CR83553746062
T124149255003,S350267378795
T124170205514,R805110580016
T124187307501,CR294531882647
T124204471317,S35506426664
T124220944961,S35506426664
T124232173236,R209582834537
T124260625994,CR505658625083
T124288591629,R912580200546
T12429117634,S178331315212
T124319197775,C994840160544
T124332852392,C316979864735
T124386288011,S608539204331
T124413543784,C349573165350
T124464146220,S931449110695
T12448346570,S675250864354
T124503263542,CR102968664636
T124517583989,CR323985274332
T124536674406,R177105721207
T124538180315,S178433510159
T124583315080,C349004818744
T124584849879,C219662665970
T124586182230,R467822250367
T124611334351,CR114120579704
T124620583024,CR783198615036
T12467974622,C641795813078
T124718149956,R14146819289
T12474375534,S637917689179
T124783686151,CR63681315528
T124798154672,S35506426664
T12480144245,C641795813078
T124804353922,C221878844816
T12481447319,CR373501801
T12481842822,CR795705730009
T124820822544,CR915977980863
T124867523266,R443601979483
T124867965176,C903487843119
T124915694114,S242445566060
T12492825922,CR233667834251
T124944587141,S675993292454
T12496367495,CR874756817358
T124988224447,CR8690183203
T12504533430,R12996266868
T125050818101,R23776857499
T1250791513,CR12319270338
T125089333630,C208674463645
T125113692217,R590980645905
T12515816411,CR206004380361
T12520238474,CR432610693265
T125217300221,R990771713818
T125219815640,R12996266868
T125230490394,CR874756817358
T125230770859,R997475887918
T125247343806,S550005392985
T125256822611,R653709434810
T125262353342,S952330424674
T125280237743,R54481457783
T125310663289,CR973006857846
T125375203988,R119341965993
T125375278148,C994840160544
T125445596393,R83333660646
T125465331679,C677013818504
T125490825961,S178433510159
T125494563007,S808744345450
T12552723572,C275167256486
T125543442662,C110573369242
T125565823243,C903487843119
T125568345055,R849627309056
T125601512402,R590980645905
T12560844777,R849627309056
T125639366014,C219662665970
T125701547689,R668887724510
T125772704151,CR757199606799
T125785306974,R585005168566
T125795816816,CR727560947210
T125824557759,CR83553746062
T125975732618,S637917689179
T1259761050,C677013818504
T125981823587,CR294531882647
T126013295325,R805110580016
T126021906633,CR65640478814
T12602509068,S129823627207
T126029973944,C40648968635
T126060966213,S690539574356
T126099403693,S242445566060
T1261029653,CR967855246261
T126111631972,R990724975152
T12611583634,CR227800901164
T126145868226,S110110593359
T126293595007,S637917689179
T12631371065,R16412228157
T126354395096,C994840160544
T126415694601,CR290569187576
T126428115797,R337885620018
T126435644282,R590980645905
T126482410037,S178433510159
T126486140746,CR172119223289
T126544689060,R335184364557
T126559242267,R392940951280
T126561285625,R208185985850
T126573114524,R591819899055
T126584427404,C122847920540
T12665978111,S908788533980
T12667710119,CR915977980863
T126704730265,C918306506787
T126722500894,C198751675116
T1267347759,R269418758472
T126740172123,S583048510534
T126756188854,R912580200546
T126776453388,R3952976273
T126787563587,R934016749639
T12682232160,S350267378795
T126849243912,S110110593359
T126920728490,S952330424674
T126924257656,C932374883072
T126933260153,R177105721207
T126974451475,CR727560947210
T126982831903,S808744345450
T127001364392,R814256406213
T127057373230,CR757199606799
T12707017283,S637917689179
T127080988244,S504842321794
T127099763761,R809467187738
T127104195865,R83333660646
T127181715151,R698117412928
T127303617598,S969815340294
T12730665569,R590980645905
T12737786243,R467822250367
T127426623308,C122743610118
T1274759793,CR874756817358
T127487766425,R805110580016
T127492863245,C918306506787
T12758289916,CR233667834251
T127596237657,CR656344193297
T127603101127,C696792776381
T127630205303,R16412228157
T127644836678,S928037566409
T127669853410,C113883303122
T127743522502,S178433510159
T127757577589,CR783198615036
T127843133376,C767239668292
T12785355230,CR757199606799
T127878169466,C219662665970
T127896481144,C36574055434
T127924790061,S637917689179
T127934928306,S365579778508
T127964537942,CR290569187576
T12799174091,S850054748357
T12799666951,S350267378795
T128011253623,CR310905580460
T128049277900,C918306506787
T128054699784,S908788533980
T128082142746,C617207532761
T128107657098,CR310905580460
T128174912715,S3204071518
T128335159003,S994888439568
T128336746519,R83268455149
T12839076916,CR206004380361
T128433668132,R177105721207
T128441636798,S232709415599
T1284555646,R668887724510
T128460814248,C538548926956
T128478639247,R83268455149
T1284885815,S784061418357
T128592538394,CR136479728025
T128601664479,C30870158900
T12864987820,C902242338621
T12865136129,R48042242991
T128661817788,R16412228157
T12868418188,S908788533980
T128743562452,S242445566060
T128773524392,CR80335448539
T12880040554,S167987957665
T128805326204,R668887724510
T128811923839,CR206004380361
T128815453105,S341935930538
T128817749891,R26312636707
T128832586512,CR706261205313
T128847565422,CR795245890399
T128919744205,R48156846185
T12895342358,C744892535225
T128959534080,CR629757816781
T128982280685,C696792776381
T129013708357,C522302308590
T129046803916,R209582834537
T129128758158,C668620257542
T129177564414,R990724975152
T129236683286,R16412228157
T129245401032,S110110593359
T129264839234,C332521205056
T129283446660,R990724975152
T129334965163,C850618627983
T129356362978,CR83553746062
T129383363945,R7747895548
T129389543618,CR290569187576
T129408547799,S385413546901
T129425612027,R990724975152
T129445231324,C40648968635
T129502751659,R997475887918
T129538152677,R653709434810
T129578702256,R48156846185
T129585404397,R805943178700
T129590795557,C20695518246
T12960982493,R16412228157
T129644214413,CR795245890399
T129665369944,S375549183226
T129672630825,R912580200546
T129682776667,C711174129592
T129726894687,R48042242991
T1297534262,C6550062356
T129828622411,R585005168566
T129867842430,C378823819744
T129871679702,S608539204331
T129879898166,R590980645905
T129920599637,S827758731804
T129989732200,C68371135703
T130046775802,C641795813078
T130066715455,R940836426196
T130077185915,C902242338621
T130085798338,R484974489427
T130096987840,C918306506787
T130104414681,S64352145635
T130115338168,S60176329917
T130155434385,R209582834537
T130216370979,C55651347661
T130243468683,C219662665970
T130256325128,CR896583572163
T13026165123,S35506426664
T130272509166,R335184364557
T130277129337,S35506426664
T130338822192,CR87150949837
T130374934986,CR432610693265
T130406807591,C538548926956
T130565635416,S827758731804
T130573748336,C6550062356
T130630856318,C696792776381
T130663648277,C11453236465
T130682300771,R308416853768
T130689484906,S908788533980
T13080390214,R681239563875
T130830539292,R269418758472
T13099726416,C538548926956
T13102346295,CR29722240394
T131066505024,R805110580016
T131115429704,C208674463645
T131126201483,R83333660646
T131149736346,S287680249123
T13115039072,C465489125192
T131165612873,S3204071518
T131174285557,S439715196849
T131206377235,S484032499382
T131224399090,CR373501801
T131226834035,R291609990421
T131282869992,R14146819289
T131287116229,CR654867845835
T13128958123,C850618627983
T131302788385,C696792776381
T131335563730,S129823627207
T131362894049,C994840160544
T131366852618,CR757199606799
T13137389838,C994840160544
T131391957208,S952330424674
T131401195398,C113883303122
T13140262042,C95144984632
T13141420639,C994840160544
T131431512593,S88247586149
T131447863089,R35596551479
T13144997448,CR8690183203
T131485386599,R209582834537
T131486555781,S827758731804
T13149980306,S583048510534
T131511218156,S520447518974
T13151869388,S827758731804
T131574127239,S952330424674
T13162759298,CR83553746062
T131654292057,S908788533980
T131694141755,S183881695792
T131706416692,R392358933017
T131741225374,R2995844411
T131746746893,R23776857499
T13178830206,R849627309056
T13181396296,S504842321794
T131853446915,C750153725722
T131866999053,C918306506787
T131916890172,S637917689179
T131916934339,CR102968664636
T131925510492,CR915977980863
T131968359626,S872589248462
T132011247817,S347165589299
T132024433322,R238880766901
T132108538681,CR713482463859
T13221666492,CR290569187576
T132256365716,CR432610693265
